"Resource Number","Resource","File"
,"B.C.’s Labour Market Outlook: 2021 Edition","BC_Labour_Market_Outlook_2021_9MB.pdf"
"7550007283","BC’s Career Guide for Indigenous People 2018","BC-Career-Guide-Indigenous-People-2018.pdf"
"7550007152","WorkBC Parents’ Guide 2018","WorkBC_Parents_Guide_2018_Web.pdf"
"7550007184","WorkBC Parents’ Guide – Arabic","2018-Arabic-WorkBC-Parents-Guide-Web.pdf"
"7550007181","WorkBC Parents’ Guide – Chinese Simplified","2018-Chinese-Simplified-WorkBC-Parents-Guide-Web.pdf"
"7550007182","WorkBC Parents’ Guide – Chinese Traditional","2018-Chinese-Traditional-WorkBC-Parents-Guide-Web.pdf"
"7550007178","WorkBC Parents’ Guide – French","2018-French-WorkBC-Parents-Guide-Web.pdf"
"7550007179","WorkBC Parents’ Guide – Korean","2018-Korean-WorkBC-Parents-Guide-Web.pdf"
"7550007180","WorkBC Parents’ Guide – Punjabi","2018-Punjabi-WorkBC-Parents-Guide-Web.pdf"
"7550007183","WorkBC Parents’ Guide – Tagalog","2018-Tagalog-WorkBC-Parents-Guide-Web.pdf"
